"","chrom","nuc"
"466",4,155127
"467",4,155186.521
"468",4,155826
"469",4,156061
"470",4,158297
"471",4,158730
"472",4,160107
"473",4,160183
"474",4,163266
"475",4,165405
"476",4,167513
"477",4,168854
"478",4,169422
"479",4,169974
"480",4,170539
"481",4,171540
"482",4,172999
"483",4,173700
"484",4,174952
"485",4,175400
"486",4,176384
"487",4,178299
"488",4,179291
"489",4,183090
"490",4,183250
"491",4,185542
"492",4,185751
"493",4,185847
"494",4,186004.804
"495",4,186282
"496",4,186349
"497",4,186965
"498",4,187142
"499",4,187703
"500",4,187817
"501",4,188204
"502",4,188988
"503",4,191732
"504",5,0
"505",5,1478
"506",5,3055
"507",5,3449
"508",5,3816
"509",5,3995
"510",5,4965
"511",5,6365
"512",5,7387
"513",5,10279
"514",5,10746
"515",5,11435
"516",5,14563
"517",5,14927
"518",5,15871
"519",5,16623
"520",5,16684
"521",5,17465
"522",5,31667
"523",5,32068
"524",5,33747
"525",5,35843
"526",5,37905
"527",5,38525.405
"528",5,41329
"529",5,53345
"530",5,54223
"531",5,55756
"532",5,55905
"533",5,56283
"534",5,57585
"535",5,57985
"536",5,58769
"537",5,62919
"538",5,64806
"539",5,66059
"540",5,66185
"541",5,67255
"542",5,67819
"543",5,68478.878
"544",5,74612
"545",5,76314
"546",5,77844
"547",5,78971
"548",5,81388
"549",5,81757
"550",5,82851
"551",5,86020
"552",5,95881
"553",5,102729
"554",5,103124
"555",5,106611
"556",5,111718
"557",5,112256
"558",5,112438
"559",5,112761
"560",5,113712
"561",5,117064
"562",5,120387
"563",5,121395
"564",5,127225
"565",5,128229
"566",5,131375
"567",5,131895.594
"568",5,131958.034
"569",5,133193
"570",5,133558
"571",5,133670.44
"572",5,133928
"573",5,134471
"574",5,137655
"575",5,137697
"576",5,137881
"577",5,141079
"578",5,141675
"579",5,147258
"580",5,148396
"581",5,149462
"582",5,149773
"583",5,151112
"584",5,151601
"585",5,152667
"586",5,155172
"587",5,157700
"588",5,158183
"589",5,159866
"590",5,160720
"591",5,163302
"592",5,166977
"593",5,169122
"594",5,171198
"595",5,172574
"596",5,173001
"597",5,173496
"598",5,174849.279
"599",5,176505.587
"600",5,177772
"601",5,179290
"602",6,4285
"603",6,5618
"604",6,6939
"605",6,7368
"606",6,7900
"607",6,8799
"608",6,13498
"609",6,14557
"610",6,15945
"611",6,16005.867
"612",6,16407
"613",6,16499
"614",6,16761
"615",6,17056
"616",6,20118
"617",6,20443
"618",6,21716
"619",6,22030
"620",6,23410
"621",6,23690
"622",6,23944
"623",6,24851
"624",6,26195
"625",6,27928
"626",6,31650
"627",6,33787
"628",6,35199
"629",6,36312
"630",6,36693
"631",6,36693.341
"632",6,37188.722
"633",6,37591
"634",6,39160
"635",6,39187
"636",6,40340
"637",6,43145
"638",6,43811
"639",6,44168
"640",6,46975
"641",6,47358
"642",6,48061
"643",6,51035
"644",6,55302
"645",6,62318
"646",6,64091
"647",6,64226
"648",6,71712
"649",6,72184
"650",6,75042
"651",6,85580
"652",6,89723
"653",6,91180
"654",6,99673
"655",6,100036
"656",6,100506
"657",6,105560
"658",6,108282
"659",6,108555
"660",6,111933.613
"661",6,111956.726
"662",6,112006
"663",6,112447
"664",6,112942
"665",6,113606
"666",6,115327
"667",6,119429
"668",6,120789
"669",6,124948
"670",6,125373
"671",6,128717
"672",6,131601
"673",6,133412
"674",6,135483.109
"675",6,136296
"676",6,137396
"677",6,155211
"678",6,160238
"679",6,170695
"680",6,170737.911
"681",7,188
"682",7,807
"683",7,2141
"684",7,2730
"685",7,2842
"686",7,2948
"687",7,4360
"688",7,5757
"689",7,5865
"690",7,6993
"691",7,8628
"692",7,9820
"693",7,16990
"694",7,17301
"695",7,17341
"696",7,18118
"697",7,18475
"698",7,18557
"699",7,19184
"700",7,19727
"701",7,22456
"702",7,22543
"703",7,24468
"704",7,25979
"705",7,26218
"706",7,27651
"707",7,27914
"708",7,29280
"709",7,29730
"710",7,31485
"711",7,32643
"712",7,33387
"713",7,34607
"714",7,34955
"715",7,34996
"716",7,36331
"717",7,36505
"718",7,36961
"719",7,37897
"720",7,38494
"721",7,39270
"722",7,39895
"723",7,40593
"724",7,40815
"725",7,40864
"726",7,41166
"727",7,42422
"728",7,42828
"729",7,43022
"730",7,44081
"731",7,44253
"732",7,44369
"733",7,45498
"734",7,45830
"735",7,45896
"736",7,46025
"737",7,46877
"738",7,48000
"739",7,49775
"740",7,50725
"741",7,52046
"742",7,53465
"743",7,54828.553
"744",7,54871
"745",7,55206
"746",7,55242
"747",7,55349
"748",7,63546
"749",7,65115
"750",7,66469
"751",7,67265
"752",7,67608
"753",7,67811
"754",7,69638
"755",7,71146
"756",7,71275
"757",7,71432
"758",7,72822
"759",7,72855
"760",7,73357
"761",7,77250
"762",7,77697
"763",7,79459
"764",7,79459
"765",7,80121
"766",7,81611
"767",7,82609
"768",7,84156
"769",7,86105.763
"770",7,86745
"771",7,87477
"772",7,87990
"773",7,90029
"774",7,90268.894
"775",7,91856
"776",7,92211
"777",7,92418
"778",7,92475
"779",7,93098
"780",7,94735
"781",7,95227
"782",7,95552.733
"783",7,96636
"784",7,98035
"785",7,99973
"786",7,100265
"787",7,100334
"788",7,100337
"789",7,101400
"790",7,104127
"791",7,104174
"792",7,106305
"793",7,106595
"794",7,106748
"795",7,107079
"796",7,107908
"797",7,108069
"798",7,111198
"799",7,111200
"800",7,114104
"801",7,115396
"802",7,115449
"803",7,115627
"804",7,115990
"805",7,115990
"806",7,116565
"807",7,120591
"808",7,121089
"809",7,121395
"810",7,123941
"811",7,125500
"812",7,127170
"813",7,127287
"814",7,127910
"815",7,128500
"816",7,128687
"817",7,129047
"818",7,131260
"819",7,132809
"820",7,133332
"821",7,134505
"822",7,136029
"823",7,136600
"824",7,136916
"825",7,137509
"826",7,137608
"827",7,137683
"828",7,138472
"829",7,139192
"830",7,139842
"831",7,142994
"832",7,143474
"833",7,144769
"834",7,147633
"835",7,150092
"836",7,150928
"837",7,151001
"838",7,153599
"839",7,154922
"840",7,156990
"841",7,157964
"842",8,0
"843",8,2058
"844",8,2080
"845",8,2117.695
"846",8,2356
"847",8,3284
"848",8,4219
"849",8,4358
"850",8,4725
"851",8,9674
"852",8,9853
"853",8,10039
"854",8,10209
"855",8,10594
"856",8,10893
"857",8,11164
"858",8,11539
"859",8,11734
"860",8,11739
"861",8,12753
"862",8,12846
"863",8,15646
"864",8,15660
"865",8,15976
"866",8,17394
"867",8,17511
"868",8,19264
"869",8,19617
"870",8,19702
"871",8,19807.05
"872",8,20335
"873",8,22745
"874",8,23223
"875",8,24859
"876",8,25212
"877",8,25299
"878",8,25316
"879",8,26282
"880",8,26290
"881",8,26649.175
"882",8,27243
"883",8,28178
"884",8,28889
"885",8,28963
"886",8,29077
"887",8,29319
"888",8,30494
"889",8,31264
"890",8,32470
"891",8,32637
"892",8,33579
"893",8,35530
"894",8,35635
"895",8,36452
"896",8,38125
"897",8,38257
"898",8,38287.741
"899",8,39745
"900",8,39855
"901",8,40481
"902",8,40661
"903",8,41163.276
"904",8,41529.085
"905",8,41663
"906",8,43001
"907",8,47823
"908",8,49118
"909",8,52199
"910",8,52638
"911",8,53073
"912",8,53297
"913",8,53605
"914",8,54464
"915",8,55552
"916",8,55737
"917",8,56842.332
"918",8,56919
"919",8,56973
"920",8,61151
"921",8,61583.289
"922",8,64362
"923",8,65694
"924",8,67298
"925",8,67392
"926",8,67480
"927",8,70364
"928",8,74222
"929",8,74642
"930",8,74944
"931",8,76694
"932",8,78060
"933",8,79384
"934",8,79894
"935",8,80998
"936",8,82164
"937",8,82336
"938",8,82467
"939",8,92927.734
"940",8,93059
"941",8,93148
"942",8,98877
"943",8,99005
"944",8,99284
"945",8,100171
"946",8,100605
"947",8,101112
"948",8,101126
"949",8,110377
"950",8,118645
"951",8,118768
"952",8,118768
"953",8,123706
"954",8,125385
"955",8,125503
"956",8,125521
"957",8,126333
"958",8,126487
"959",8,126543
"960",8,127186
"961",8,127639
"962",8,128500
"963",8,128704.918
"964",8,128704.918
"965",8,131013
"966",8,132829
"967",8,133112
"968",8,133449
"969",8,133963
"970",8,134425
"971",8,135163
"972",8,135479
"973",8,135878
"974",8,136665
"975",8,137675
"976",8,138273
"977",8,141505
"978",8,141508
"979",8,146309
"980",9,222
"981",9,2644
"982",9,4408
"983",9,4576
"984",9,4820
"985",9,5180
"986",9,5893
"987",9,5964
"988",9,10432
"989",9,10578
"990",9,11586
"991",9,11640
"992",9,11790
"993",9,12628
"994",9,13018
"995",9,13369
"996",9,14333
"997",9,15858
"998",9,16141
"999",9,17487
"1000",9,19585
"1001",9,20334.967
"1002",9,21957.751
"1003",9,21958
"1004",9,22823
"1005",9,24524
"1006",9,25426
"1007",9,27290
"1008",9,27537
"1009",9,30769
"1010",9,31035
"1011",9,31664
"1012",9,32326
"1013",9,32970
"1014",9,33163
"1015",9,34511
"1016",9,34590
"1017",9,34971
"1018",9,35800
"1019",9,36175
"1020",9,36204
"1021",9,37608
"1022",9,38085
"1023",9,67145
"1024",9,67236
"1025",9,68066
"1026",9,68683
"1027",9,69380
"1028",9,71119
"1029",9,73222
"1030",9,73439
"1031",9,74535
"1032",9,75400
"1033",9,75457
"1034",9,77811
"1035",9,80348
"1036",9,80767
"1037",9,81525
"1038",9,81643
"1039",9,83093
"1040",9,84018
"1041",9,85079
"1042",9,85712
"1043",9,86475
"1044",9,87222
"1045",9,87242
"1046",9,89148
"1047",9,89667
"1048",9,91550
"1049",9,92564
"1050",9,92643.363
"1051",9,93007
"1052",9,93144
"1053",9,93202.825
"1054",9,93550
"1055",9,96225
"1056",9,96445
"1057",9,97131
"1058",9,97957
"1059",9,98111
"1060",9,98250
"1061",9,98274
"1062",9,98443
"1063",9,105543
"1064",9,106020
"1065",9,108906
"1066",9,110120
"1067",9,111201
"1068",9,111466
"1069",9,112354
"1070",9,112532
"1071",9,112785
"1072",9,115037
"1073",9,115789
"1074",9,116348
"1075",9,118302
"1076",9,122569
"1077",9,122776
"1078",9,127638
"1079",9,127951
"1080",9,128986.497
"1081",9,129650
"1082",9,129693
"1083",9,131043
"1084",9,131843.236
"1085",9,131879
"1086",9,136372
"1087",10,0
"1088",10,178
"1089",10,1578
"1090",10,2197
"1091",10,3622
"1092",10,4301
"1093",10,6632
"1094",10,6649
"1095",10,7200
"1096",10,7901
"1097",10,8120
"1098",10,8923
"1099",10,11804
"1100",10,12796.951
"1101",10,13694
"1102",10,13711
"1103",10,14455
"1104",10,15557
"1105",10,17956
"1106",10,20564
"1107",10,21378
"1108",10,21593
"1109",10,21850
"1110",10,21867
"1111",10,22138
"1112",10,22614.145
"1113",10,22622
"1114",10,22666
"1115",10,22794
"1116",10,23586
"1117",10,24560
"1118",10,24840
"1119",10,25593
"1120",10,26493
"1121",10,29581
"1122",10,30577
"1123",10,34315
"1124",10,42856.517
"1125",10,43423
"1126",10,43988
"1127",10,44121
"1128",10,49923
"1129",10,51484
"1130",10,51554
"1131",10,52297
"1132",10,53025
"1133",10,53259
"1134",10,59302
"1135",10,60133
"1136",10,61975
"1137",10,63911
"1138",10,64542
"1139",10,66053
"1140",10,67615
"1141",10,68620
"1142",10,69318
"1143",10,69724
"1144",10,70407
"1145",10,70854
"1146",10,71425
"1147",10,71740
"1148",10,72010
"1149",10,72320
"1150",10,72570
"1151",10,72931
"1152",10,74004
"1153",10,74222
"1154",10,75118
"1155",10,76964
"1156",10,78276
"1157",10,78296
"1158",10,78596
"1159",10,80207
"1160",10,80374
"1161",10,81837
"1162",10,88215
"1163",10,89288.344
"1164",10,89676
"1165",10,94033.504
"1166",10,95192.699
"1167",10,96648
"1168",10,97763
"1169",10,98832
"1170",10,99295
"1171",10,99789
"1172",10,101068
"1173",10,101310
"1174",10,101657
"1175",10,101703
"1176",10,102391
"1177",10,102961
"1178",10,103585
"1179",10,103820.049
"1180",10,105401
"1181",10,105823
"1182",10,107185
"1183",10,107841
"1184",10,108591
"1185",10,108767
"1186",10,110790
"1187",10,111415
"1188",10,111544
"1189",10,112985
"1190",10,114186
"1191",10,114531
"1192",10,115457.657
"1193",10,115612
"1194",10,115887
"1195",10,120497
"1196",10,121249
"1197",10,121974
"1198",10,122745
"1199",10,122902.442
"1200",10,123678
"1201",10,124606
"1202",10,127417
"1203",10,127765
"1204",10,128242
"1205",10,128795
"1206",10,129270
"1207",10,132877
"1208",10,133055
"1209",10,133884
"1210",10,135037
"1211",11,0
"1212",11,522.942
"1213",11,522.942
"1214",11,523
"1215",11,2149.57
"1216",11,2869
"1217",11,3582
"1218",11,3812.52
"1219",11,4188
"1220",11,5230.038
"1221",11,5349
"1222",11,5371
"1223",11,6113
"1224",11,6278
"1225",11,7256
"1226",11,8563
"1227",11,9094
"1228",11,10500
"1229",11,10534
"1230",11,11611
"1231",11,11685
"1232",11,11689
"1233",11,12616
"1234",11,12686
"1235",11,13767
"1236",11,14374
"1237",11,14838
"1238",11,17179
"1239",11,17865
"1240",11,18158
"1241",11,19235
"1242",11,19261
"1243",11,19383
"1244",11,19596
"1245",11,19960
"1246",11,20188
"1247",11,23939
"1248",11,25057
"1249",11,26547
"1250",11,26560
"1251",11,27041
"1252",11,29798
"1253",11,30505
"1254",11,30640
"1255",11,31328
"1256",11,31328
"1257",11,32373.794
"1258",11,32374
"1259",11,32374
"1260",11,33269
"1261",11,33310
"1262",11,33539
"1263",11,33695
"1264",11,34632
"1265",11,34632
"1266",11,34776
"1267",11,35241
"1268",11,36016
"1269",11,36029
"1270",11,36361
"1271",11,36373
"1272",11,36674
"1273",11,36741
"1274",11,40253
"1275",11,40887
"1276",11,41566
"1277",11,41866
"1278",11,42826
"1279",11,43689
"1280",11,44107
"1281",11,44601
"1282",11,44934
"1283",11,45055
"1284",11,46046
"1285",11,46591
"1286",11,46591
"1287",11,47245.301
"1288",11,47997
"1289",11,48099
"1290",11,48472
"1291",11,56376
"1292",11,56629
"1293",11,57148
"1294",11,58500
"1295",11,59117
"1296",11,59215
"1297",11,59240
"1298",11,59955.803
"1299",11,62290
"1300",11,62953
"1301",11,62970
"1302",11,63810.389
"1303",11,64314
"1304",11,64346.355
"1305",11,64802
"1306",11,65048
"1307",11,66178
"1308",11,66394
"1309",11,66929
"1310",11,67049
"1311",11,67802
"1312",11,68482.613
"1313",11,69134
"1314",11,69229
"1315",11,69229
"1316",11,69242
"1317",11,69242
"1318",11,69361
"1319",11,70008
"1320",11,70129
"1321",11,71659
"1322",11,72013
"1323",11,72765
"1324",11,73039
"1325",11,73337
"1326",11,74815
"1327",11,74949
"1328",11,75067
"1329",11,75624
"1330",11,75993
"1331",11,76094.882
"1332",11,76760
"1333",11,77013
"1334",11,78025
"1335",11,78686
"1336",11,82259
"1337",11,83075
"1338",11,83096
"1339",11,83276
"1340",11,85003
"1341",11,85395
"1342",11,85481
"1343",11,86775
"1344",11,87714.913
"1345",11,92954
"1346",11,93773
"1347",11,93920
"1348",11,97426
"1349",11,99843
"1350",11,101595
"1351",11,101955
"1352",11,102182
"1353",11,102471
"1354",11,104333
"1355",11,104357
"1356",11,105059
"1357",11,105295
"1358",11,107455
"1359",11,107701.85
"1360",11,107774
"1361",11,109450
"1362",11,110978.55
"1363",11,111244
"1364",11,111630
"1365",11,112817.968
"1366",11,112818
"1367",11,112964
"1368",11,113531
"1369",11,113807
"1370",11,116613.441
"1371",11,117055
"1372",11,117844.879
"1373",11,118011
"1374",11,118862
"1375",11,119095
"1376",11,119486
"1377",11,119806
"1378",11,120201
"1379",11,120456
"1380",11,121703
"1381",11,122731
"1382",11,122910
"1383",11,125424
"1384",11,125860
"1385",11,126228
"1386",11,131207
"1387",11,132085
"1388",11,133589
"1389",11,134483
"1390",12,174
"1391",12,2978
"1392",12,3457.393
"1393",12,4177
"1394",12,4191
"1395",12,4253.198
"1396",12,5221
"1397",12,11935.247
"1398",12,12770
"1399",12,13644
"1400",12,14736
"1401",12,14833
"1402",12,15665
"1403",12,18417
"1404",12,18610
"1405",12,22094
"1406",12,25249
"1407",12,26255
"1408",12,27316
"1409",12,30116
"1410",12,30741
"1411",12,32989
"1412",12,43909
"1413",12,47439
"1414",12,47658.502
"1415",12,47682.343
"1416",12,48129
"1417",12,48794.831
"1418",12,49870
"1419",12,50298
"1420",12,50918
"1421",12,51016
"1422",12,51325
"1423",12,52180
"1424",12,52480
"1425",12,54782
"1426",12,56152.111
"1427",12,56427
"1428",12,57375
"1429",12,59176
"1430",12,60918
"1431",12,61706
"1432",12,62763
"1433",12,63254
"1434",12,63300
"1435",12,63731
"1436",12,65016
"1437",12,65483
"1438",12,66706
"1439",12,67191.307
"1440",12,67488
"1441",12,67488
"1442",12,68218
"1443",12,74053
"1444",12,75752
"1445",12,78276
"1446",12,80359
"1447",12,88211
"1448",12,90601
"1449",12,91384
"1450",12,91954
"1451",12,92401
"1452",12,93024
"1453",12,93273
"1454",12,93918
"1455",12,93927
"1456",12,94498
"1457",12,94706
"1458",12,97222
"1459",12,99314
"1460",12,99970
"1461",12,100203
"1462",12,101292.143
"1463",12,102582
"1464",12,102794.643
"1465",12,102862.106
"1466",12,103739
"1467",12,105025
"1468",12,105290
"1469",12,105448
"1470",12,105578
"1471",12,110302
"1472",12,110804
"1473",12,113916
"1474",12,124495
"1475",12,125569
"1476",12,127116
"1477",12,128754
"1478",12,129158
"1479",12,129550
"1480",12,131939
"1481",13,19885
"1482",13,21702
"1483",13,22138.869
"1484",13,23399
"1485",13,25534
"1486",13,29031
"1487",13,29038
"1488",13,30769
"1489",13,30842.814
"1490",13,32967.553
"1491",13,37927
"1492",13,38805
"1493",13,38842.273
"1494",13,38875.096
"1495",13,39564
"1496",13,39608
"1497",13,40802
"1498",13,40992.233
"1499",13,41260
"1500",13,41478
"1501",13,43382
"1502",13,43656
"1503",13,45018
"1504",13,45205.513
"1505",13,46357
"1506",13,46676
"1507",13,46814
"1508",13,49043
"1509",13,51011
"1510",13,58146.3
"1511",13,58297.802
"1512",13,71528
"1513",13,71779
"1514",13,72184
"1515",13,72520
"1516",13,73966
"1517",13,75831
"1518",13,76215
"1519",13,82659
"1520",13,90719
"1521",13,92619
"1522",13,93260
"1523",13,96752
"1524",13,97371
"1525",13,97662
"1526",13,98060
"1527",13,99930
"1528",13,100907
"1529",13,101238
"1530",13,102921
"1531",13,103756
"1532",13,104516
"1533",13,106617
"1534",13,107748
"1535",13,109071
"1536",13,110658
"1537",13,111287
"1538",13,113043
"1539",14,18913.532
"1540",14,19152
"1541",14,19227
"1542",14,19455
"1543",14,21010.676
"1544",14,21199
"1545",14,21467
"1546",14,22529
"1547",14,22595.505
"1548",14,22596
"1549",14,23859
"1550",14,24608
"1551",14,25116
"1552",14,27502
"1553",14,29365
"1554",14,29790
"1555",14,30071
"1556",14,32327
"1557",14,33325
"1558",14,37359
"1559",14,38678
"1560",14,47069
"1561",14,49846
"1562",14,49923
"1563",14,50570
"1564",14,50687
"1565",14,50904
"1566",14,52877
"1567",14,53522
"1568",14,53522
"1569",14,54178
"1570",14,55088
"1571",14,56641
"1572",14,56724
"1573",14,57707
"1574",14,60027.228
"1575",14,61602
"1576",14,62633
"1577",14,62866
"1578",14,62917
"1579",14,63384
"1580",14,63532
"1581",14,65768
"1582",14,67172
"1583",14,68022
"1584",14,68573
"1585",14,74541
"1586",14,75120
"1587",14,76416
"1588",14,76535
"1589",14,77551
"1590",14,86618
"1591",14,87070
"1592",14,87879
"1593",14,88848
"1594",14,89217
"1595",14,89681
"1596",14,90544
"1597",14,90747
"1598",14,91159
"1599",14,92234.803
"1600",14,92658
"1601",14,92807
"1602",14,93287
"1603",14,94166.345
"1604",14,94298
"1605",14,97866
"1606",14,98058
"1607",14,98738
"1608",14,99131
"1609",14,99216
"1610",14,99306
"1611",14,100382
"1612",14,102369
"1613",14,103207.383
"1614",14,105131
"1615",15,21360
"1616",15,21555.199
"1617",15,22771
"1618",15,22771
"1619",15,22904
