"","gene","genename","genechr","genepos","genedesc"
"33","Hs.184582","RPL24","3","102720.836","ribosomal protein L24"
"34","Hs.182447","HNRPC","14","19668.842","heterogeneous nuclear ribonucleoprotein C (C1/C2)"
"35","Hs.155595","NEDD5","2","242575.524","neural precursor cell expressed, developmentally down-regulated 5"
"36","Hs.249495","HNRPA1","12","52960.754","heterogeneous nuclear ribonucleoprotein A1"
"37","Hs.3297","RPS27A","2","55434.357","ribosomal protein S27a"
"38","Hs.165590","RPS13","11","17060.247","ribosomal protein S13"
"39","Hs.177415","FAU","11","64663.462","Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30"
"40","Hs.193989","TARDBP","1","10782.224","TAR DNA binding protein"
"41","Hs.180370","CFL1","11","65397.663","cofilin 1 (non-muscle)"
"42","Hs.343354","RPL18","19","53810.4","ribosomal protein L18"
"43","Hs.7811","EIF3S5","11","7973.202","eukaryotic translation initiation factor 3, subunit 5 (epsilon, 47kD)"
"44","Hs.76194","RPS5","19","63590.466","ribosomal protein S5"
"45","Hs.111611","RPL27","17","41523.61","ribosomal protein L27"
"46","Hs.250895","RPL34","4","110000.542","ribosomal protein L34"
"47","Hs.181311","NARS","18","53416.882","asparaginyl-tRNA synthetase"
"48","Hs.283722","STARD7","2","96335.36","START domain containing 7"
"49","Hs.252723","RPL19","17","37731.532","ribosomal protein L19"
"50","Hs.78713","SLC25A3","12","97489.942","solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3"
"51","Hs.182740","RPS11","19","54691.445","ribosomal protein S11"
"52","Hs.157850","RPL9","4","39352.926","ribosomal protein L9"
"53","Hs.76053","DDX5","17","63045.838","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 5 (RNA helicase, 68kD)"
"54","Hs.349961","RPL6","12","111254.947","ribosomal protein L6"
"55","Hs.84359","HSA011916","17","7347.723","hypothetical protein HSA011916"
"56","Hs.334895","RPL10A","6","35483.051","ribosomal protein L10a"
"57","Hs.278554","CBX3","7","25983.595","chromobox homolog 3 (HP1 gamma homolog, Drosophila)"
"58","Hs.82202","RPL17","18","45266.844","ribosomal protein L17"
"59","Hs.1390","PSMB2","1","35496.4","proteasome (prosome, macropain) subunit, beta type, 2"
"60","Hs.119537","KHDRBS1","1","31981.963","KH domain containing, RNA binding, signal transduction associated 1"
"61","Hs.55296","BAT1","6","31602.338","HLA-B associated transcript 1"
"62","Hs.10729","HSPC117","22","31108.122","hypothetical protein"
"63","Hs.118757","ERH","14","67836.886","enhancer of rudimentary homolog (Drosophila)"
"64","Hs.77608","SFRS9","12","119311.423","splicing factor, arginine/serine-rich 9"
"65","Hs.9573","ABCF1","6","30645.326","ATP-binding cassette, sub-family F (GCN20), member 1"
"66","Hs.82890","DAD1","14","21023.934","defender against cell death 1"
"67","Hs.97496","YY1","14","98695.142","YY1 transcription factor"
"68","Hs.6396","JTB","1","151163.779","jumping translocation breakpoint"
"69","Hs.21907","HBOA","17","48340.708","histone acetyltransferase"
"70","Hs.301819","ZNF146","19","41411.487","zinc finger protein 146"
"71","Hs.288319","SART1","11","65504.57","squamous cell carcinoma antigen recognised by T cells"
"72","Hs.75117","ILF2","1","150851.306","interleukin enhancer binding factor 2, 45kD"
"73","Hs.90436","SPAG7","17","5063.084","sperm associated antigen 7"
"74","Hs.7165","ZNF259","11","116186.928","zinc finger protein 259"
"75","Hs.89657","TAF10","11","6596.381","TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30 kD"
"76","Hs.15164","C1D","2","68243.871","nuclear DNA-binding protein"
"77","Hs.355861","NONO","23","69370.292","non-POU domain containing, octamer-binding"
"78","Hs.246112","KIAA0788","2","96425.23","KIAA0788 protein"
"79","Hs.77273","ARHA","3","49355.59","ras homolog gene family, member A"
"80","Hs.75104","RNPS1","16","2243.047","RNA binding protein S1, serine-rich domain"
"81","Hs.180450","RPS24","10","79138.225","ribosomal protein S24"
"82","Hs.334807","RPL30","8","99010.525","ribosomal protein L30"
"83","Hs.9614","NPM1","5","170795.779","nucleophosmin (nucleolar phosphoprotein B23, numatrin)"
"84","Hs.74335","HSPCB","6","44261.703","heat shock 90kD protein 1, beta"
"85","Hs.74571","ARF1","1","225245.059","ADP-ribosylation factor 1"
"86","Hs.8024","IK","5","140055.884","IK cytokine, down-regulator of HLA II"
"87","Hs.155560","CANX","5","179235.654","calnexin"
"88","Hs.116875","SART3","12","107418.823","squamous cell carcinoma antigen recognised by T cells 3"
"89","Hs.4973","CGI-57","2","220239.158","hypothetical protein CGI-57"
"90","Hs.79968","SPF30","10","111717.385","splicing factor 30, survival of motor neuron-related"
"91","Hs.79024","HNRPM","19","8415.65","heterogeneous nuclear ribonucleoprotein M"
"92","Hs.303627","HNRPD","4","83732.888","heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kD)"
"93","Hs.738","RPL14","3","40459.406","ribosomal protein L14"
"94","Hs.3764","GUK1","1","225302.647","guanylate kinase 1"
"95","Hs.108847","MGC2749","19","18529.603","hypothetical protein MGC2749"
"96","Hs.7476","ATP6V0B","1","43853.904","ATPase, H+ transporting, lysosomal 21kD, V0 subunit c"
"97","Hs.3100","KARS","16","75441.182","lysyl-tRNA synthetase"
"98","Hs.356200","",NA,NA,"ESTs, Highly similar to HSHU33 histone H3.3 [H.sapiens]"
"99","Hs.350166","RPS6","9","19366.253","ribosomal protein S6"
"100","Hs.301547","RPS7","2","3187.377","ribosomal protein S7"
"101","Hs.12064","USP22","17","21065.086","ubiquitin specific protease 22"
"102","Hs.78050","IMAGE145052","11","16724.502","small acidic protein"
"103","Hs.172772","TCEB2","16","2821.911","transcription elongation factor B (SIII), polypeptide 2 (18kD, elongin B)"
"104","Hs.347969","COX4I1","16","85614.674","cytochrome c oxidase subunit IV isoform 1"
"105","Hs.286","RPL4","15","64507.471","ribosomal protein L4"
"106","Hs.356463","FNTA","8","42928.851","farnesyltransferase, CAAX box, alpha"
"107","Hs.113029","RPS25","11","118424.075","ribosomal protein S25"
"108","Hs.337445","RPL37","5","40878.057","ribosomal protein L37"
"109","Hs.256697","HINT1","5","130571.199","histidine triad nucleotide binding protein 1"
"110","Hs.75309","EEF2","19","3927.054","eukaryotic translation elongation factor 2"
"111","Hs.76230","RPS10","6","34432.087","ribosomal protein S10"
"112","Hs.24322","ATP6V0E","5","172391.711","ATPase, H+ transporting, lysosomal 9kD V0 subunit e"
"113","Hs.129548","HNRPK","9","82040.21","heterogeneous nuclear ribonucleoprotein K"
"114","Hs.350929","","12","120158.002","Homo sapiens cDNA FLJ30217 fis, clone BRACE2001709, highly similar to Homo sapiens anaphase-promoting complex subunit 5 (APC5) mRNA"
"115","Hs.103804","HNRPU","1","241963.686","heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)"
"116","Hs.103804","HNRPU","1","241963.686","heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)"
"117","Hs.198899","EIF3S10","10","120459.143","eukaryotic translation initiation factor 3, subunit 10 (theta, 150/170kD)"
"118","Hs.198899","EIF3S10","10","120459.143","eukaryotic translation initiation factor 3, subunit 10 (theta, 150/170kD)"
"119","Hs.198899","EIF3S10","10","120459.143","eukaryotic translation initiation factor 3, subunit 10 (theta, 150/170kD)"
"120","Hs.82689","TRA1","12","102826.655","tumor rejection antigen (gp96) 1"
"121","Hs.82689","TRA1","12","102826.655","tumor rejection antigen (gp96) 1"
"122","Hs.170328","MSN","23","63754.406","moesin"
"123","Hs.182485","ACTN4","19","43830.166","actinin, alpha 4"
"124","Hs.177486","APP","21","26174.732","amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)"
"125","Hs.183037","PRKAR1A","17","67105.69","protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"
"126","Hs.183037","PRKAR1A","17","67105.69","protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"
"127","Hs.349499","DSP","6","7486.868","desmoplakin (DPI, DPII)"
"128","Hs.81848","RAD21","8","117814.761","RAD21 homolog (S. pombe)"
"129","Hs.81848","RAD21","8","117814.761","RAD21 homolog (S. pombe)"
"130","Hs.85100","WDR1","4","9826.846","WD repeat domain 1"
"131","Hs.79110","NCL","2","232522.157","nucleolin"
"132","Hs.85100","WDR1","4","9826.846","WD repeat domain 1"
"133","Hs.74626","AP2B1","17","34059.842","adaptor-related protein complex 2, beta 1 subunit"
"134","Hs.152936","AP2M1","3","185213.568","adaptor-related protein complex 2, mu 1 subunit"
"135","Hs.178710","CLTC","17","58171.741","clathrin, heavy polypeptide (Hc)"
"136","Hs.74626","AP2B1","17","34059.842","adaptor-related protein complex 2, beta 1 subunit"
"137","Hs.181418","KIAA0152","12","119536.924","KIAA0152 gene product"
"138","Hs.181418","KIAA0152","12","119536.924","KIAA0152 gene product"
"139","Hs.334851","LASP1","17","37401.33","LIM and SH3 protein 1"
"140","Hs.75916","SF3B2",NA,NA,"splicing factor 3b, subunit 2, 145kD"
"141","Hs.11441","C1orf8","1","53867.268","chromosome 1 open reading frame 8"
"142","Hs.108080","CSRP1","1","198740.916","cysteine and glycine-rich protein 1"
"143","Hs.334330","CALM3","19","51796.408","calmodulin 3 (phosphorylase kinase, delta)"
"144","Hs.334330","CALM3","19","51796.408","calmodulin 3 (phosphorylase kinase, delta)"
"145","Hs.78825","MATR3","5","138705.57","matrin 3"
"146","Hs.104125","CAP","1","39919.721","adenylyl cyclase-associated protein"
"147","Hs.78825","MATR3","5","138705.57","matrin 3"
"148","Hs.278270","P23","12","55343.648","unactive progesterone receptor, 23 kD"
"149","Hs.374466","WARS","14","98790.168","tryptophanyl-tRNA synthetase"
"150","Hs.374466","WARS","14","98790.168","tryptophanyl-tRNA synthetase"
"151","Hs.145279","SET","9","126827.905","SET translocation (myeloid leukemia-associated)"
"152","Hs.145279","SET","9","126827.905","SET translocation (myeloid leukemia-associated)"
"153","Hs.75789","NDRG1","8","134206.006","N-myc downstream regulated gene 1"
"154","Hs.183842","UBB","17","16484.932","ubiquitin B"
"155","Hs.75721","PFN1","17","5049.532","profilin 1"
"156","Hs.75216","PTPRF","1","43409.84","protein tyrosine phosphatase, receptor type, F"
"157","Hs.75216","PTPRF","1","43409.84","protein tyrosine phosphatase, receptor type, F"
"158","Hs.75216","PTPRF","1","43409.84","protein tyrosine phosphatase, receptor type, F"
"159","Hs.75103","YWHAZ","8","101887.496","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
"160","Hs.75103","YWHAZ","8","101887.496","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
"161","Hs.75103","YWHAZ","8","101887.496","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
"162","Hs.75103","YWHAZ","8","101887.496","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
"163","Hs.75428","SOD1","21","31952.412","superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))"
"164","Hs.177516","HDLBP","2","242489.369","high density lipoprotein binding protein (vigilin)"
"165","Hs.75061","MACMARCKS","1","32301.913","macrophage myristoylated alanine-rich C kinase substrate"
"166","Hs.7719","GABARAP","17","7344.304","GABA(A) receptor-associated protein"
"167","Hs.172609","NUCB1","19","54095.852","nucleobindin 1"
"168","Hs.4835","EIF3S8","16","28760.51","eukaryotic translation initiation factor 3, subunit 8 (110kD)"
"169","Hs.170171","GLUL","1","179591.413","glutamate-ammonia ligase (glutamine synthase)"
"170","Hs.172609","NUCB1","19","54095.852","nucleobindin 1"
"171","Hs.2795","LDHA","11","18380.419","lactate dehydrogenase A"
"172","Hs.5662","GNB2L1","5","180773.593","guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1"
"173","Hs.74564","SSR2","1","153195.631","signal sequence receptor, beta (translocon-associated protein beta)"
"174","Hs.177656","CALM1","14","88853.417","calmodulin 1 (phosphorylase kinase, delta)"
"175","Hs.75655","P4HB","17","80479.849","procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)"
"176","Hs.177656","CALM1","14","88853.417","calmodulin 1 (phosphorylase kinase, delta)"
"177","Hs.75655","P4HB","17","80479.849","procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)"
"178","Hs.79172","SLC25A5","23","117356.51","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"
"179","Hs.75323","PHB","17","47956.057","prohibitin"
"180","Hs.75323","PHB","17","47956.057","prohibitin"
"181","Hs.256290","S100A11","1","149221.563","S100 calcium binding protein A11 (calgizzarin)"
"182","Hs.118126","PPGB","20","45205.627","protective protein for beta-galactosidase (galactosialidosis)"
"183","Hs.75187","TOMM20-PENDING","1","232313.808","translocase of outer mitochondrial membrane 20 (yeast) homolog"
"184","Hs.76294","CD63","12","54405.519","CD63 antigen (melanoma 1 antigen)"
"185","Hs.111779","SPARC","5","151070.507","secreted protein, acidic, cysteine-rich (osteonectin)"
"186","Hs.82646","DNAJB1","19","14486.581","DnaJ (Hsp40) homolog, subfmaily B, member 1"
"187","Hs.118797","UBE2D3","4","104175.588","ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)"
"188","Hs.118797","UBE2D3","4","104175.588","ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)"
"189","Hs.118797","UBE2D3","4","104175.588","ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)"
"190","Hs.149923","XBP1","22","27515.102","X-box binding protein 1"
"191","Hs.107164","SPTBN1","2","54728.04","spectrin, beta, non-erythrocytic 1"
"192","Hs.107164","SPTBN1","2","54728.04","spectrin, beta, non-erythrocytic 1"
"193","Hs.111894","LAPTM4A","2","20216.923","lysosomal-associated protein transmembrane 4 alpha"
"194","Hs.169793","RPL32","3","12852.529","ribosomal protein L32"
"195","Hs.54457","CD81","11","2363.048","CD81 antigen (target of antiproliferative antibody 1)"
"196","Hs.108104","UBE2L3","22","20246.572","ubiquitin-conjugating enzyme E2L 3"
"197","Hs.111126","PTTG1IP","21","45125.714","pituitary tumor-transforming 1 interacting protein"
"198","Hs.180577","GRN","17","42897.812","granulin"
"199","Hs.337757","HMG1","13","28831.996","high-mobility group (nonhistone chromosomal) protein 1"
"200","Hs.337757","HMG1","13","28831.996","high-mobility group (nonhistone chromosomal) protein 1"
"201","Hs.75207","GLO1","6","38690.574","glyoxalase I"
"202","Hs.355853","","22","20246.572","ESTs, Highly similar to C Chain C, Structure Of A Cbl-Ubch7 Complex: Ring Domain Function In Ubiquitin-Protein Ligases [H.sapiens]"
"203","Hs.108104","UBE2L3","22","20246.572","ubiquitin-conjugating enzyme E2L 3"
"204","Hs.108104","UBE2L3","22","20246.572","ubiquitin-conjugating enzyme E2L 3"
"205","Hs.11482","SFRS11","1","70041.28","splicing factor, arginine/serine-rich 11"
"206","Hs.11482","SFRS11","1","70041.28","splicing factor, arginine/serine-rich 11"
"207","Hs.195614","SF3B3","16","70333.927","splicing factor 3b, subunit 3, 130kD"
"208","Hs.195614","SF3B3","16","70333.927","splicing factor 3b, subunit 3, 130kD"
"209","Hs.2186","EEF1G","11","62102.432","eukaryotic translation elongation factor 1 gamma"
"210","Hs.3069","HSPA9B","5","137967.24","heat shock 70kD protein 9B (mortalin-2)"
"211","Hs.3069","HSPA9B","5","137967.24","heat shock 70kD protein 9B (mortalin-2)"
"212","Hs.3069","HSPA9B","5","137967.24","heat shock 70kD protein 9B (mortalin-2)"
"213","Hs.74405","YWHAQ","2","9745.844","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide"
"214","Hs.155986","DDX24","14","92507.308","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 24"
"215","Hs.173902","PPP2R1A","19","57385.045","protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform"
"216","Hs.290070","GSN","9","119438.179","gelsolin (amyloidosis, Finnish type)"
"217","Hs.118625","HK1","10","70374.358","hexokinase 1"
"218","Hs.372755","KDELR2","7","6246.606","KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2"
"219","Hs.76152","DCN","12","90041.83","decorin"
"220","Hs.372755","KDELR2","7","6246.606","KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2"
"221","Hs.119529","NPC2","14","72936.684","Niemann-Pick disease, type C2"
"222","Hs.155986","DDX24","14","92507.308","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 24"
"223","Hs.5120","PIN","12","119345.885","dynein, cytoplasmic, light polypeptide"
"224","Hs.76507","PIG7","16","11608.886","LPS-induced TNF-alpha factor"
"225","Hs.275959","EEF1B2","2","207227.011","eukaryotic translation elongation factor 1 beta 2"
"226","Hs.76507","PIG7","16","11608.886","LPS-induced TNF-alpha factor"
"227","Hs.1432","PRKCSH","19","11407.467","protein kinase C substrate 80K-H"
"228","Hs.170197","GOT2","16","58516.433","glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)"
"229","Hs.179661","FKBP1A","20","1344.622","FK506 binding protein 1A (12kD)"
"230","Hs.82208","ACADVL","17","7323.797","acyl-Coenzyme A dehydrogenase, very long chain"
"231","Hs.171626","TCEB1L",NA,NA,"transcription elongation factor B (SIII), polypeptide 1-like"
"232","Hs.234279","MAPRE1","20","32123.449","microtubule-associated protein, RP/EB family, member 1"
"233","Hs.234279","MAPRE1","20","32123.449","microtubule-associated protein, RP/EB family, member 1"
"234","Hs.76228","OS-9","12","56374.186","amplified in osteosarcoma"
"235","Hs.119122","RPL13A","19","54682.676","ribosomal protein L13a"
"236","Hs.119122","RPL13A","19","54682.676","ribosomal protein L13a"
"237","Hs.153","RPL7","8","74252.838","ribosomal protein L7"
"238","Hs.355612","",NA,NA,"ESTs, Highly similar to SKP1_HUMAN CYCLIN A/CDK2-ASSOCIATED PROTEIN P19 [H.sapiens]"
"239","Hs.171626","TCEB1L",NA,NA,"transcription elongation factor B (SIII), polypeptide 1-like"
"240","Hs.153961","ACTR1A","10","103903.573","ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"
"241","Hs.153961","ACTR1A","10","103903.573","ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"
"242","Hs.278672","M11S1","11","34037.538","membrane component, chromosome 11, surface marker 1"
"243","Hs.278672","M11S1","11","34037.538","membrane component, chromosome 11, surface marker 1"
"244","Hs.29797","RPL10","23","152094.631","ribosomal protein L10"
"245","Hs.29797","RPL10","23","152094.631","ribosomal protein L10"
"246","Hs.79081","PPP1CC","12","109569.696","protein phosphatase 1, catalytic subunit, gamma isoform"
"247","Hs.42915","ACTR2","2","65429.511","ARP2 actin-related protein 2 homolog (yeast)"
"248","Hs.42915","ACTR2","2","65429.511","ARP2 actin-related protein 2 homolog (yeast)"
"249","Hs.42915","ACTR2","2","65429.511","ARP2 actin-related protein 2 homolog (yeast)"
"250","Hs.227777","PTP4A1","6","64279.255","protein tyrosine phosphatase type IVA, member 1"
"251","Hs.227777","PTP4A1","6","64279.255","protein tyrosine phosphatase type IVA, member 1"
"252","Hs.227777","PTP4A1","6","64279.255","protein tyrosine phosphatase type IVA, member 1"
"253","Hs.227777","PTP4A1","6","64279.255","protein tyrosine phosphatase type IVA, member 1"
"254","Hs.119177","ARF3","12","47616.258","ADP-ribosylation factor 3"
"255","Hs.32916","NACA","12","55392.486","nascent-polypeptide-associated complex alpha polypeptide"
"256","Hs.76686","GPX1","3","49353.623","glutathione peroxidase 1"
"257","Hs.78771","PGK1","23","76115.642","phosphoglycerate kinase 1"
"258","Hs.78771","PGK1","23","76115.642","phosphoglycerate kinase 1"
"259","Hs.85119","SMT3H1","21","45081.741","SMT3 suppressor of mif two 3 homolog 1 (yeast)"
"260","Hs.85119","SMT3H1","21","45081.741","SMT3 suppressor of mif two 3 homolog 1 (yeast)"
"261","Hs.195453","RPS27","1","151180.029","ribosomal protein S27 (metallopanstimulin 1)"
"262","Hs.20478","CLN2","11","6598.308","ceroid-lipofuscinosis, neuronal 2, late infantile (Jansky-Bielschowsky disease)"
"263","Hs.20478","CLN2","11","6598.308","ceroid-lipofuscinosis, neuronal 2, late infantile (Jansky-Bielschowsky disease)"
"264","Hs.215595","GNB1","1","1665.026","guanine nucleotide binding protein (G protein), beta polypeptide 1"
"265","Hs.215595","GNB1","1","1665.026","guanine nucleotide binding protein (G protein), beta polypeptide 1"
"266","Hs.215595","GNB1","1","1665.026","guanine nucleotide binding protein (G protein), beta polypeptide 1"
"267","Hs.301512","NUMA1","11","71440.226","nuclear mitotic apparatus protein 1"
"268","Hs.62954","FTH1","11","61507.397","ferritin, heavy polypeptide 1"
"269","Hs.10842","RAN","12","129709.666","RAN, member RAS oncogene family"
"270","Hs.182447","HNRPC","14","19668.842","heterogeneous nuclear ribonucleoprotein C (C1/C2)"
"271","Hs.2575","CAPN1","11","64724.702","calpain 1, (mu/I) large subunit"
"272","Hs.73965","SFRS2","17","75327.327","splicing factor, arginine/serine-rich 2"
"273","Hs.73965","SFRS2","17","75327.327","splicing factor, arginine/serine-rich 2"
"274","Hs.7753","CALU","7","127933.397","calumenin"
"275","Hs.7753","CALU","7","127933.397","calumenin"
"276","Hs.7753","CALU","7","127933.397","calumenin"
"277","Hs.83469","NFE2L1","17","46600.383","nuclear factor (erythroid-derived 2)-like 1"
"278","Hs.83469","NFE2L1","17","46600.383","nuclear factor (erythroid-derived 2)-like 1"
"279","Hs.92384","JWA","3","69067.179","vitamin A responsive; cytoskeleton related"
"280","Hs.92384","JWA","3","69067.179","vitamin A responsive; cytoskeleton related"
"281","Hs.173381","DPYSL2","8","26457.404","dihydropyrimidinase-like 2"
"282","Hs.177592","RPLP1","15","67460.976","ribosomal protein, large, P1"
"283","Hs.178452","CTNNA1","5","138193.826","catenin (cadherin-associated protein), alpha 1 (102kD)"
"284","Hs.178452","CTNNA1","5","138193.826","catenin (cadherin-associated protein), alpha 1 (102kD)"
"285","Hs.343475","CTSD","11","1738.293","cathepsin D (lysosomal aspartyl protease)"
"286","Hs.76666","C9orf10","9","91555.581","C9orf10 protein"
"287","Hs.77502","MAT2A","2","85740.843","methionine adenosyltransferase II, alpha"
"288","Hs.77502","MAT2A","2","85740.843","methionine adenosyltransferase II, alpha"
"289","Hs.214982","LAMC1","1","180231.933","laminin, gamma 1 (formerly LAMB2)"
"290","Hs.214982","LAMC1","1","180231.933","laminin, gamma 1 (formerly LAMB2)"
"291","Hs.250655","PTMA","2","232775.774","prothymosin, alpha (gene sequence 28)"
"292","Hs.250655","PTMA","2","232775.774","prothymosin, alpha (gene sequence 28)"
"293","Hs.76666","C9orf10","9","91555.581","C9orf10 protein"
"294","Hs.129548","HNRPK","9","82040.21","heterogeneous nuclear ribonucleoprotein K"
"295","Hs.155291","BZAP45","2","201879.187","basic leucine-zipper protein BZAP45"
"296","Hs.155291","BZAP45","2","201879.187","basic leucine-zipper protein BZAP45"
"297","Hs.155595","NEDD5","2","242575.524","neural precursor cell expressed, developmentally down-regulated 5"
"298","Hs.181243","ATF4","22","38159.607","activating transcription factor 4 (tax-responsive enhancer element B67)"
"299","Hs.273385","GNAS","20","58100.204","GNAS complex locus"
"300","Hs.343665","RPS15A","16","18760.841","ribosomal protein S15a"
"301","Hs.300711","ANXA5","4","123047.968","annexin A5"
"302","Hs.250811","STMN1","1","25831.299","stathmin 1/oncoprotein 18"
"303","Hs.89137","LRP1","12","55808.548","low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)"
"304","Hs.89137","LRP1","12","55808.548","low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)"
"305","Hs.118065","PSMB7","9","122491.789","proteasome (prosome, macropain) subunit, beta type, 7"
"306","Hs.194673","PEA15","1","157391.918","phosphoprotein enriched in astrocytes 15"
"307","Hs.194673","PEA15","1","157391.918","phosphoprotein enriched in astrocytes 15"
"308","Hs.196176","ECH1","19","43997.909","enoyl Coenzyme A hydratase 1, peroxisomal"
"309","Hs.75212","ODC1","2","10602.246","ornithine decarboxylase 1"
"310","Hs.1742","IQGAP1","15","88661.268","IQ motif containing GTPase activating protein 1"
"311","Hs.197345","G22P1","22","40260.392","thyroid autoantigen 70kD (Ku antigen)"
"312","Hs.300463","ACO2","22","40108.169","aconitase 2, mitochondrial"
"313","Hs.75416","DAZAP2","12","49918.889","DAZ associated protein 2"
"314","Hs.75445","SPARCL1","4","88852.884","SPARC-like 1 (mast9, hevin)"
"315","Hs.86386","MCL1","1","147763.618","myeloid cell leukemia sequence 1 (BCL2-related)"
"316","Hs.86386","MCL1","1","147763.618","myeloid cell leukemia sequence 1 (BCL2-related)"
"317","Hs.86386","MCL1","1","147763.618","myeloid cell leukemia sequence 1 (BCL2-related)"
"318","Hs.8997","HSPA1A","6","31887.623","heat shock 70kD protein 1A"
